time	V(N002,VDD)*Id(M1)+V(N002,VDD)*Ig(M1)	V(N003,VDD)*Id(M2)+V(N002,VDD)*Ig(M2)	V(N003,VDD)*Id(M3)+V(N001,VDD)*Ig(M3)	V(N001,VDD)*Id(M5)+V(N003,VDD)*Ig(M5)	V(Vout,VDD)*Id(M7)+V(N001,VDD)*Ig(M7)	V(Vout)*Id(M8)+V(N001)*Ig(M8)	V(N001)*Id(M6)+V(N003)*Ig(M6)	V(N003)*Id(M4)+V(Vout)*Ig(M4)	V(N003)*I(C1)	V(Vout)*I(C2)
0.000000000000000e+00	1.099188e-07	5.137903e-08	4.805575e-10	4.077969e-10	7.909146e-11	6.232173e-10	3.305879e-10	4.522260e-08	1.493949e-28	5.421591e-28
1.329669641832460e-07	1.099179e-07	5.136374e-08	4.798418e-10	4.064198e-10	7.896561e-11	6.239604e-10	3.318589e-10	4.522696e-08	2.031825e-12	-3.668021e-13
2.659339283664920e-07	1.099175e-07	5.135762e-08	4.795749e-10	4.058842e-10	7.892470e-11	6.242360e-10	3.323530e-10	4.522883e-08	2.805542e-12	-5.046467e-13
3.989008925497380e-07	1.099177e-07	5.136065e-08	4.797565e-10	4.061897e-10	7.896876e-11	6.240443e-10	3.320699e-10	4.522823e-08	2.320308e-12	-4.135464e-13
5.318678567329840e-07	1.099186e-07	5.137285e-08	4.803867e-10	4.073365e-10	7.909777e-11	6.233852e-10	3.310098e-10	4.522515e-08	5.765951e-13	-9.349364e-14
6.648348209162300e-07	1.099200e-07	5.139421e-08	4.814660e-10	4.093254e-10	7.931174e-11	6.222587e-10	3.291738e-10	4.521958e-08	-2.423818e-12	4.555399e-13
7.978017850994760e-07	1.099220e-07	5.142475e-08	4.829955e-10	4.121583e-10	7.961066e-11	6.206647e-10	3.265635e-10	4.521152e-08	-6.677839e-12	1.233603e-12
9.307687492827217e-07	1.099246e-07	5.146445e-08	4.849764e-10	4.158374e-10	7.999454e-11	6.186034e-10	3.231815e-10	4.520093e-08	-1.218107e-11	2.240764e-12
9.516950885684361e-07	1.099270e-07	5.167203e-08	4.837546e-10	4.258351e-10	7.642958e-11	6.206621e-10	3.145644e-10	4.506814e-08	-1.713853e-11	2.180236e-12
9.726214278541503e-07	1.099267e-07	5.179294e-08	4.813333e-10	4.302639e-10	7.352371e-11	6.238528e-10	3.109182e-10	4.497911e-08	-1.643971e-11	1.337792e-12
9.935477671398647e-07	1.099237e-07	5.182702e-08	4.776979e-10	4.290992e-10	7.127828e-11	6.281769e-10	3.122179e-10	4.493412e-08	-1.012041e-11	-2.865032e-13
1.014474106425579e-06	1.099181e-07	5.177424e-08	4.728530e-10	4.223506e-10	6.969215e-11	6.336332e-10	3.184740e-10	4.493315e-08	1.839688e-12	-2.692124e-12
1.035400445711293e-06	1.099097e-07	5.163468e-08	4.668222e-10	4.100623e-10	6.876173e-11	6.402175e-10	3.297331e-10	4.497594e-08	1.951707e-11	-5.878084e-12
1.056326784997008e-06	1.098986e-07	5.140857e-08	4.596483e-10	3.923126e-10	6.848090e-11	6.479232e-10	3.460775e-10	4.506191e-08	4.304434e-11	-9.842934e-12
