time	V(N002,VDD)*Id(M1)+V(N002,VDD)*Ig(M1)	V(N003,VDD)*Id(M2)+V(N002,VDD)*Ig(M2)	V(N003,VDD)*Id(M3)+V(N001,VDD)*Ig(M3)	V(N001,VDD)*Id(M5)+V(N003,VDD)*Ig(M5)	V(Vout,VDD)*Id(M7)+V(N001,VDD)*Ig(M7)	V(Vout)*Id(M8)+V(N001)*Ig(M8)	V(N001)*Id(M6)+V(N003)*Ig(M6)	V(Vout)*I(C2)	V(N003)*Id(M4)+V(Vout)*Ig(M4)	V(N003)*I(C1)
0.000000000000000e+00	1.232639e-07	5.688136e-08	4.869479e-10	4.086599e-10	7.176461e-11	6.229348e-10	3.297068e-10	3.557687e-27	5.003415e-08	9.602428e-28
1.983468746379913e-06	1.232623e-07	5.692288e-08	4.822377e-10	4.084119e-10	6.984546e-11	6.289945e-10	3.301408e-10	-7.333865e-12	4.997325e-08	2.131373e-11
2.178781246379913e-06	1.232639e-07	5.657470e-08	4.957180e-10	3.989108e-10	7.864662e-11	6.116983e-10	3.383907e-10	1.131772e-11	5.025879e-08	-6.128740e-13
2.276437496379913e-06	1.232736e-07	5.696550e-08	5.070825e-10	4.219506e-10	7.610847e-11	5.991793e-10	3.182195e-10	3.267668e-11	5.016145e-08	-1.309967e-10
2.374093746379913e-06	1.232753e-07	5.780999e-08	4.881879e-10	4.527738e-10	5.852241e-11	6.268321e-10	2.946718e-10	7.883085e-12	4.957366e-08	-1.496309e-10
2.471749996379913e-06	1.232510e-07	5.774329e-08	4.377410e-10	4.260631e-10	4.551325e-11	6.977628e-10	3.207814e-10	-7.972237e-11	4.916231e-08	1.734514e-10
2.569406246379912e-06	1.232187e-07	5.542269e-08	4.350909e-10	3.296309e-10	7.808157e-11	7.020371e-10	4.329168e-10	-1.123910e-10	5.020878e-08	6.234665e-10
2.667062496379912e-06	1.232484e-07	5.304103e-08	5.952129e-10	2.944785e-10	1.586588e-10	5.519024e-10	4.836402e-10	9.469931e-11	5.254087e-08	2.160787e-10
2.764718746379912e-06	1.233693e-07	5.662415e-08	7.921049e-10	6.055246e-10	1.491802e-10	4.041869e-10	2.821008e-10	3.967678e-10	5.233152e-08	-1.431720e-09
2.862374996379912e-06	1.233953e-07	6.651388e-08	6.431857e-10	1.249811e-09	-8.918669e-11	9.031541e-10	1.165762e-10	5.129432e-11	4.520983e-08	-1.476904e-09
2.949352235355541e-06	1.230132e-07	6.488439e-08	1.559066e-10	7.798747e-10	-1.889699e-10	3.044474e-09	5.702693e-10	-1.812552e-09	4.020845e-08	2.945547e-09
3.017276464217788e-06	1.223464e-07	4.455819e-08	2.279953e-11	-4.459188e-10	2.766675e-11	5.362307e-09	2.667254e-09	-4.149119e-09	3.853330e-08	1.510250e-08
3.025383724200457e-06	1.222848e-07	3.975374e-08	2.071082e-10	-4.551746e-10	2.235496e-10	4.624655e-09	4.193117e-09	-3.971910e-09	3.868620e-08	1.725884e-08
3.041598244165795e-06	1.223553e-07	2.860041e-08	3.468651e-09	2.202000e-10	2.633257e-09	1.872566e-09	9.562606e-09	5.187674e-10	4.599120e-08	1.846726e-08
3.064546494074028e-06	1.231170e-07	2.015545e-08	1.405365e-08	1.132690e-09	6.257306e-09	1.590767e-09	4.592979e-09	1.341196e-08	1.047043e-07	2.895404e-09
3.086889765561654e-06	1.249308e-07	3.138630e-08	3.130433e-08	6.992464e-10	1.813265e-09	6.650717e-10	-2.442811e-09	1.382929e-08	1.739010e-07	-3.294055e-08
3.108828665777884e-06	1.262761e-07	7.344339e-08	4.477165e-08	1.673367e-08	-3.011619e-09	-1.030336e-09	-2.767449e-09	-7.574693e-10	1.031280e-07	-2.942992e-08
3.121776381176196e-06	1.252049e-07	1.087903e-07	1.202165e-08	4.042725e-08	-8.603220e-09	-1.917666e-09	4.302318e-10	5.738734e-09	2.370266e-08	-5.236938e-09
3.124059482211778e-06	1.247385e-07	1.129276e-07	4.776917e-09	4.284905e-08	-9.470264e-09	-1.181964e-09	1.269772e-09	8.323405e-09	1.578447e-08	-2.776483e-09
3.128625684282942e-06	1.238539e-07	1.154039e-07	6.426392e-10	3.572966e-08	-8.128015e-09	1.461591e-08	2.975523e-09	-7.503101e-10	8.525991e-09	-7.566643e-10
3.136189063267010e-06	1.225339e-07	1.129994e-07	1.618648e-09	1.143386e-08	-2.403177e-09	1.051466e-07	2.921101e-09	-7.944442e-08	-1.128372e-09	1.355643e-09
3.142445948637560e-06	1.213269e-07	1.038388e-07	-2.947357e-10	-1.257442e-09	1.219350e-09	1.630102e-07	1.953931e-10	-1.356822e-07	-6.480024e-09	6.645963e-09
3.149404439682640e-06	1.204788e-07	8.793788e-08	-1.972630e-09	-4.736108e-09	3.484069e-09	1.086872e-07	-1.031078e-09	-9.132263e-08	-5.250465e-09	1.805481e-08
3.154105954154885e-06	1.203796e-07	7.638505e-08	-1.795416e-09	-4.343451e-09	3.776428e-09	5.039660e-08	-3.409376e-10	-4.040776e-08	-1.383796e-09	2.576559e-08
3.160956734698264e-06	1.203981e-07	6.018131e-08	-1.284880e-09	-3.363322e-09	2.361039e-09	9.356731e-09	1.752488e-09	-5.466963e-09	1.562581e-09	3.630249e-08
3.169302459199583e-06	1.204849e-07	4.211336e-08	-9.630140e-10	-2.441701e-09	1.983855e-10	4.067262e-10	7.676851e-09	-1.133035e-11	1.541143e-09	4.736875e-08
3.175273626242783e-06	1.207119e-07	3.074173e-08	-8.572087e-10	-1.970451e-09	-1.253572e-09	-3.616917e-09	2.080487e-08	-3.510214e-12	1.574046e-09	5.078522e-08
3.184009079707443e-06	1.212818e-07	1.678013e-08	4.406311e-09	5.209631e-10	5.868466e-09	-1.073931e-08	4.640331e-08	2.376163e-11	1.552148e-09	4.588748e-08
3.193913154004040e-06	1.218993e-07	5.423855e-09	1.145278e-08	4.390227e-09	5.081551e-08	-4.012906e-09	2.246588e-08	1.017505e-09	1.467492e-10	3.437200e-08
3.204278136804564e-06	1.226410e-07	8.195250e-10	2.513446e-09	1.194031e-09	8.123256e-08	4.294102e-10	2.535732e-09	1.394416e-08	-9.514126e-10	1.522668e-08
3.214654686895864e-06	1.232396e-07	2.185317e-11	-2.868209e-10	-9.778522e-11	6.686482e-08	1.036912e-09	-1.165776e-10	3.431894e-08	1.438063e-09	1.221202e-10
3.227567939857164e-06	1.234550e-07	-1.226978e-10	-1.770696e-10	-1.641291e-10	3.694792e-08	1.611118e-09	-4.467161e-10	5.170431e-08	2.460216e-08	-4.786307e-09
3.239835030042630e-06	1.241466e-07	1.710147e-10	6.156219e-09	2.014137e-09	1.921100e-08	3.979962e-09	3.142692e-10	5.127353e-08	8.883820e-08	-2.536079e-08
3.242901802588997e-06	1.245059e-07	1.097117e-09	6.326028e-09	1.381199e-09	1.425231e-08	3.708014e-09	-8.473540e-10	4.773715e-08	1.257130e-07	-3.475328e-08
3.249035347681730e-06	1.253562e-07	7.586115e-09	8.288025e-09	-1.136205e-09	4.146112e-09	1.304164e-09	-4.250967e-09	3.540453e-08	1.980325e-07	-5.305266e-08
3.261302437867196e-06	1.264984e-07	3.315597e-08	4.165969e-08	-1.030357e-12	1.546488e-09	5.319904e-10	-4.336425e-09	-1.367797e-09	2.198693e-07	-5.986994e-08
3.263997893420360e-06	1.262318e-07	3.926931e-08	5.210939e-08	3.808474e-10	1.467037e-09	4.646147e-10	-3.632348e-09	-3.621650e-09	2.059168e-07	-5.054080e-08
3.269388804526688e-06	1.252347e-07	4.812767e-08	7.102717e-08	8.424434e-10	8.817502e-10	3.058886e-10	-2.166503e-09	-6.342539e-10	1.753502e-07	-2.945039e-08
3.280170626739345e-06	1.242748e-07	5.951987e-08	9.563194e-08	1.631147e-09	1.798117e-10	7.128452e-11	-9.893656e-10	3.041206e-10	1.413728e-07	-1.274116e-08
3.291807102340098e-06	1.240180e-07	6.809993e-08	1.063436e-07	3.025369e-09	-2.902976e-10	-1.011873e-10	-7.128000e-10	8.037981e-11	1.178827e-07	-8.236520e-09
3.307017628606683e-06	1.242299e-07	7.884566e-08	1.042021e-07	6.229286e-09	-8.703364e-10	-3.028542e-10	-8.037565e-10	1.205136e-11	9.058239e-08	-8.501987e-09
3.309385692939588e-06	1.243229e-07	8.101009e-08	1.017579e-07	7.269464e-09	-1.054390e-09	-3.693479e-10	-8.457539e-10	3.282744e-11	8.542419e-08	-8.844633e-09
3.314121821605398e-06	1.246773e-07	8.731607e-08	8.852745e-08	1.291748e-08	-2.226918e-09	-7.916042e-10	-1.001399e-09	3.595841e-10	7.074413e-08	-9.996409e-09
3.323594078937018e-06	1.249575e-07	1.026869e-07	4.360096e-08	3.210267e-08	-6.854568e-09	-1.800354e-09	-2.895169e-10	3.783269e-09	3.549084e-08	-6.682089e-09
3.332880925265435e-06	1.239459e-07	1.159527e-07	1.120781e-09	4.196660e-08	-9.649817e-09	1.448954e-09	2.821847e-09	1.082012e-08	9.427123e-09	-7.757851e-10
3.334323335060624e-06	1.237313e-07	1.169764e-07	-1.069114e-09	3.932148e-08	-9.024733e-09	3.905901e-09	3.460269e-09	1.058237e-08	7.582109e-09	-4.276844e-10
3.337208154651001e-06	1.233827e-07	1.169899e-07	7.814063e-10	2.843787e-08	-6.394432e-09	2.929767e-08	4.181211e-09	-9.928502e-09	4.617421e-09	-8.515192e-11
3.342977793831755e-06	1.223515e-07	1.130427e-07	1.722606e-09	7.601585e-09	-1.385717e-09	1.340918e-07	2.658148e-09	-1.050495e-07	-4.019779e-09	1.646369e-09
3.348723532497206e-06	1.211231e-07	1.032191e-07	-8.854308e-10	-2.840010e-09	1.825394e-09	1.760694e-07	-4.386251e-10	-1.482484e-07	-8.385390e-09	7.532341e-09
3.354794988331843e-06	1.204439e-07	8.870347e-08	-2.088264e-09	-4.956012e-09	3.617986e-09	1.064440e-07	-1.158676e-09	-8.947890e-08	-5.456946e-09	1.783124e-08
3.360608071663443e-06	1.203718e-07	7.425205e-08	-1.693060e-09	-4.188401e-09	3.639900e-09	3.525802e-08	-1.194606e-10	-2.719043e-08	-2.739971e-10	2.725101e-08
3.366736525123508e-06	1.203898e-07	5.979342e-08	-1.267954e-09	-3.342113e-09	2.161843e-09	7.004373e-09	2.013352e-09	-3.579037e-09	1.643604e-09	3.666520e-08
3.376507519653829e-06	1.205379e-07	3.892970e-08	-9.894196e-10	-2.344908e-09	-2.037692e-10	-6.535147e-10	1.095020e-08	-1.107826e-12	1.540578e-09	4.861107e-08
3.383230753931905e-06	1.208465e-07	2.662742e-08	-5.766631e-10	-1.701629e-09	-1.852955e-09	-5.809143e-09	2.849299e-08	4.580117e-12	1.636126e-09	5.054651e-08
3.391688385931356e-06	1.213996e-07	1.375710e-08	6.803920e-09	1.582319e-09	1.347998e-08	-1.106867e-08	4.801698e-08	-1.928375e-12	1.401017e-09	4.449344e-08
3.400816767636063e-06	1.219728e-07	4.365752e-09	1.229066e-08	4.775429e-09	5.991506e-08	-3.391150e-09	2.073779e-08	2.005061e-09	-7.873185e-11	3.248620e-08
3.412521900793105e-06	1.228642e-07	4.494670e-10	1.032622e-09	5.572812e-10	7.845951e-08	6.457434e-10	1.257303e-09	2.018900e-08	-6.452160e-10	9.586975e-09
3.423635038621324e-06	1.233445e-07	-7.277389e-11	-5.663822e-11	-4.400276e-11	5.691444e-08	1.256613e-09	-1.352346e-10	4.009869e-08	3.073928e-09	-1.644767e-09
3.434227233892880e-06	1.235385e-07	-4.605765e-11	2.727911e-10	-8.711994e-11	3.353710e-08	1.671392e-09	-4.224959e-10	5.092059e-08	3.652653e-08	-6.998496e-09
3.450336861002836e-06	1.249092e-07	3.228310e-09	1.030219e-08	2.195414e-09	1.428415e-08	4.348194e-09	-2.117221e-10	3.776086e-08	1.533769e-07	-4.160273e-08
3.452550649856253e-06	1.251378e-07	5.080916e-09	1.080770e-08	1.425522e-09	1.104634e-08	3.787332e-09	-1.419024e-09	3.442481e-08	1.786607e-07	-4.752386e-08
3.456978227563088e-06	1.256359e-07	1.177239e-08	1.294147e-08	-9.813425e-10	3.236026e-09	1.241587e-09	-4.418288e-09	2.686582e-08	2.199490e-07	-5.820444e-08
3.465833382976757e-06	1.261409e-07	3.002395e-08	3.702492e-08	-2.528580e-10	1.217260e-09	5.169420e-10	-4.208718e-09	5.828127e-09	2.191686e-07	-5.592000e-08
3.473577391436730e-06	1.254425e-07	4.509039e-08	6.438216e-08	7.316483e-10	1.036133e-09	3.758796e-10	-2.511471e-09	1.670427e-10	1.833926e-07	-3.416353e-08
3.483888747090349e-06	1.244077e-07	5.772307e-08	9.153431e-08	1.512557e-09	2.868473e-10	1.123373e-10	-1.137468e-09	4.433281e-10	1.463249e-07	-1.482813e-08
3.497884798863598e-06	1.240302e-07	6.837161e-08	1.062418e-07	3.088636e-09	-2.939100e-10	-1.026735e-10	-7.205889e-10	6.442697e-11	1.171664e-07	-8.316438e-09
3.511356995391576e-06	1.241636e-07	7.769353e-08	1.055859e-07	5.709706e-09	-8.092569e-10	-2.665791e-10	-7.710246e-10	-4.333218e-12	9.338334e-08	-8.240930e-09
3.513953603643443e-06	1.242618e-07	7.995515e-08	1.032067e-07	6.743565e-09	-9.834684e-10	-3.328577e-10	-8.193901e-10	5.262560e-12	8.793280e-08	-8.635715e-09
3.519146820147176e-06	1.246450e-07	8.668035e-08	8.938575e-08	1.274722e-08	-2.214488e-09	-7.895823e-10	-1.000554e-09	3.675347e-10	7.208478e-08	-9.944297e-09
3.529533253154643e-06	1.249160e-07	1.032941e-07	4.108259e-08	3.292117e-08	-7.087966e-09	-1.690862e-09	-1.600857e-10	4.073528e-09	3.391317e-08	-6.299020e-09
3.539062918771433e-06	1.238731e-07	1.127513e-07	8.707634e-09	3.210476e-08	-7.403484e-09	2.704496e-08	2.319623e-09	-1.415806e-08	1.055157e-08	-1.064983e-09
3.549311086149632e-06	1.220954e-07	1.087703e-07	1.068588e-09	7.163032e-09	-1.291809e-09	1.234716e-07	1.975801e-09	-9.783587e-08	-1.605989e-09	3.002012e-09
3.557165102654643e-06	1.209627e-07	9.542014e-08	-1.086596e-09	-3.037713e-09	2.334718e-09	1.396600e-07	-4.189037e-10	-1.169496e-07	-4.682029e-09	1.163022e-08
3.565685592681640e-06	1.204081e-07	7.550693e-08	-1.761989e-09	-4.268484e-09	3.677662e-09	5.032694e-08	-2.641156e-10	-4.046871e-08	-1.134543e-09	2.610738e-08
3.571549648637919e-06	1.203864e-07	6.167485e-08	-1.309626e-09	-3.429117e-09	2.556755e-09	1.058643e-08	1.303475e-09	-6.381870e-09	1.527486e-09	3.534649e-08
3.578425030051627e-06	1.204358e-07	4.649337e-08	-9.739938e-10	-2.613065e-09	6.252621e-10	1.371912e-09	5.086843e-09	-7.293657e-11	1.573593e-09	4.512371e-08
3.584301494647045e-06	1.206045e-07	3.481361e-08	-9.355215e-10	-2.151065e-09	-6.881360e-10	-1.885906e-09	1.490212e-08	-2.724885e-12	1.534171e-09	5.008850e-08
3.592684379062238e-06	1.211271e-07	2.068554e-08	1.198639e-09	-7.160812e-10	-1.949630e-09	-9.258138e-09	4.093384e-08	3.953233e-11	1.666315e-09	4.765199e-08
3.601213227161618e-06	1.216634e-07	9.222873e-09	9.481440e-09	3.226272e-09	2.729228e-08	-8.076899e-09	3.730053e-08	4.377872e-11	8.757631e-10	3.958311e-08
3.610937193945548e-06	1.222560e-07	2.074673e-09	8.367249e-09	3.476183e-09	7.670217e-08	-7.759369e-10	9.667976e-09	6.195130e-09	-7.206312e-10	2.523348e-08
3.621611860269832e-06	1.231364e-07	1.154941e-10	8.256652e-11	8.715461e-11	7.664226e-08	8.490971e-10	2.600500e-10	2.716013e-08	-3.942102e-10	2.788220e-09
3.629883489643546e-06	1.234127e-07	-1.327039e-10	-2.297779e-10	-1.296205e-10	5.615733e-08	1.274400e-09	-3.270179e-10	4.106788e-08	3.272225e-09	-3.039443e-09
3.640951334809692e-06	1.235456e-07	-4.473432e-11	-1.279477e-12	-2.062104e-10	3.188101e-08	1.671070e-09	-6.381801e-10	5.266653e-08	4.070291e-08	-7.485956e-09
3.656107531006589e-06	1.246847e-07	4.581458e-09	5.848879e-09	-7.923493e-10	8.695173e-09	1.480477e-09	-2.916586e-09	4.157528e-08	1.549165e-07	-3.656000e-08
3.671924299174243e-06	1.255784e-07	2.593546e-08	3.597281e-08	-2.671243e-10	1.207537e-09	5.427359e-10	-3.569147e-09	1.017249e-08	2.120038e-07	-4.669204e-08
3.686331805305713e-06	1.250659e-07	5.059098e-08	7.459106e-08	1.270424e-09	8.844368e-11	2.690869e-11	-1.988300e-09	-4.453194e-10	1.680884e-07	-2.631200e-08
3.702101585949713e-06	1.242986e-07	6.892659e-08	9.945911e-08	3.821053e-09	-2.378588e-10	-7.865833e-11	-9.425294e-10	2.865028e-10	1.154370e-07	-1.107582e-08
3.717591951756222e-06	1.245681e-07	8.289655e-08	9.808163e-08	8.387246e-09	-1.555799e-09	-1.718501e-10	-9.356429e-10	5.738523e-10	8.062850e-08	-9.157695e-09
3.719808277030841e-06	1.246589e-07	8.539360e-08	9.410483e-08	9.954684e-09	-1.780886e-09	-3.436100e-10	-9.632523e-10	5.794347e-10	7.499902e-08	-9.511204e-09
3.724240927580079e-06	1.249037e-07	9.232044e-08	7.652177e-08	1.782866e-08	-3.296576e-09	-1.148700e-09	-9.955766e-10	9.583763e-10	5.944744e-08	-9.936902e-09
3.733106228678554e-06	1.253537e-07	1.091472e-07	1.928546e-08	4.031233e-08	-8.540233e-09	-2.140778e-09	1.893589e-10	4.829217e-09	2.503875e-08	-5.799392e-09
3.735322553953173e-06	1.250619e-07	1.126231e-07	7.616571e-09	4.394122e-08	-9.597100e-09	-1.635651e-09	1.001038e-09	6.817505e-09	1.786391e-08	-3.692590e-09
3.739755204502411e-06	1.240089e-07	1.153706e-07	1.290359e-09	3.824108e-08	-8.747754e-09	1.477540e-08	2.730887e-09	-1.905010e-09	9.033345e-09	-9.703935e-10
3.748620505600887e-06	1.223643e-07	1.117883e-07	1.460699e-09	9.997392e-09	-2.049680e-09	1.158522e-07	2.574129e-09	-8.979548e-08	-1.720257e-09	1.838194e-09
3.755639638065473e-06	1.211389e-07	1.008376e-07	-7.266849e-10	-2.291009e-09	1.754145e-09	1.578514e-07	-1.957898e-10	-1.322510e-07	-6.222177e-09	8.490030e-09
3.762966274208239e-06	1.204330e-07	8.378847e-08	-1.964618e-09	-4.672694e-09	3.713177e-09	8.594492e-08	-8.592651e-10	-7.157636e-08	-3.754153e-09	2.080501e-08
3.768152108602955e-06	1.203780e-07	7.115119e-08	-1.610349e-09	-4.005168e-09	3.497113e-09	3.031542e-08	1.499821e-10	-2.301153e-08	1.696746e-10	2.913522e-08
3.775008924788140e-06	1.204079e-07	5.530630e-08	-1.161586e-09	-3.088469e-09	1.704959e-09	4.690780e-09	2.898198e-09	-1.965439e-09	1.716433e-09	3.949470e-08
3.783796239243505e-06	1.205757e-07	3.702464e-08	-9.711239e-10	-2.259795e-09	-4.162792e-10	-1.280861e-09	1.302275e-08	-7.847513e-13	1.568038e-09	4.921742e-08
